id,title,news_site,published_at,summary,url
1,NASA Awards Modification Contract for Reduced Gravity Test Aircraft,NASA,2026-06-01T23:45:59Z,"NASA selected Denmar Technical Services of Nevada to provide aircraft modifications, maintenance, and testing services to the Human Spaceflight Mission Directorate at NASA’s Armstrong Flight Research Center in Edwards, California, and Johnson Space Center in Houston. The award is a firm-fixed-price contract and will be time and material for any over and above and unforeseen […]",https://www.nasa.gov/news-release/nasa-awards-modification-contract-for-reduced-gravity-test-aircraft/
2,Launch Preview: SpaceX and Chinese rockets to launch internet satellites to LEO,NASASpaceflight,2026-06-01T22:05:08Z,"SpaceX and Chinese launches dominate this week’s launch manifest, which features six missions from five…
The post Launch Preview: SpaceX and Chinese rockets to launch internet satellites to LEO appeared first on NASASpaceFlight.com.",https://www.nasaspaceflight.com/2026/06/launch-preview-060126/
3,NASA Invites Media to See Roman Space Telescope Arrive at Kennedy,NASA,2026-06-01T21:22:52Z,"Registration is open for media to cover the arrival of NASA’s Nancy Grace Roman Space Telescope at the agency’s Kennedy Space Center in Florida in the coming weeks. The observatory will arrive aboard NASA’s Pegasus barge from NASA’s Goddard Space Flight Center in Greenbelt, Maryland, where teams completed its construction, assembly, and testing. Credentialed media […]",https://www.nasa.gov/news-release/nasa-invites-media-to-see-roman-space-telescope-arrive-at-kennedy/
4,PLD Space Triples Investment in Launch Facility to €35 Million,European Spaceflight,2026-06-01T19:06:32Z,"PLD Space has announced that it will invest €35 million in the development of its launch facility at the Guiana Space Centre in French Guiana, more than triple the amount the company initially planned. In June 2024, PLD Space announced that it planned to “make a very efficient 10 million euros investment for the construction […]
The post PLD Space Triples Investment in Launch Facility to €35 Million appeared first on European Spaceflight.",https://europeanspaceflight.com/pld-space-triples-investment-in-launch-facility-to-e35-million/
5,NASA to Conduct Low-Altitude Flights Near Houston,NASA,2026-06-01T18:29:50Z,"Five research aircraft will support a Student Airborne Research Program (SARP) mission out of Ellington Field in Houston. Flights are expected from Wednesday, June 3 to Saturday, June 13. During the mission, select maneuvers will be conducted at low altitudes over the Houston area.  Pilots will fly remote sensing payloads in raster patterns, or parallel back-and-forth lines. The instruments flown could help […]",https://www.nasa.gov/general/nasa-to-conduct-low-altitude-flights-near-houston/
6,What’s Up: June 2026 Skywatching Tips from NASA,NASA,2026-06-01T18:13:46Z,"Venus and Jupiter meet after sunset, the Moon passes in front of Venus, summer begins, and deep-sky treasures rise into view.",https://science.nasa.gov/solar-system/whats-up-june-2026-skywatching-tips-from-nasa/
7,Op-Ed: Misuse of Commercial Programs Sets NASA Up for Failure,Space Scout,2026-06-01T15:42:10Z,"Despite Starliner being perhaps the most visible example of a commercial program gone wrong, it is far from unique in its problems.",https://www.spacescout.info/2026/06/op-ed-misuse-of-commercial-programs-sets-nasa-up-for-failure/
8,Flight Log—About Pilots,NASA,2026-06-01T15:39:35Z,"Introduction From the first glider flight to the first powered flight, aviation pioneers have paved the way for remarkable innovations in flight. At NASA, our pilots conduct research, study wildfires, and support unmanned aircraft missions. In fact, out of the 360 astronauts who have been selected, 191 of them have been pilots!   The History of Pilot Certificates […]",https://www.nasa.gov/aeronautics/aeronautics-stem/flight-log-about-pilots/
9,Pilot Flight Logs,NASA,2026-06-01T15:38:43Z,"Pilot Flight Logs Pilot flight logs, which have been around in one form or another since the beginning of flight, have served several purposes. Today, pilot logbooks are used by aviators to provide a record of their flights, including current and accumulated flight time, number and locations of takeoffs and landings, as well as unique […]",https://www.nasa.gov/aeronautics/aeronautics-stem/pilot-flight-logs/
10,Webb sniffs methane from interstellar Comet 3I/ATLAS,ESA,2026-06-01T15:00:00Z,From the ESA Blogs.,https://www.esa.int/ESA_Multimedia/Images/2026/06/Webb_sniffs_methane_from_interstellar_Comet_3I_ATLAS
11,Northrop Grumman partners with Apex on space-based interceptors for Golden Dome,SpaceNews,2026-06-01T14:57:04Z,"The Los Angeles-based startup manufactures standardized satellite buses designed to be produced more quickly and at lower cost than traditional government spacecraft
The post Northrop Grumman partners with Apex on space-based interceptors for Golden Dome appeared first on SpaceNews.",https://spacenews.com/northrop-grumman-partners-with-apex-on-space-based-interceptors-for-golden-dome/
12,Pretty in Pink,NASA,2026-06-01T14:30:17Z,"This image of Westerlund 2 released on March 19, 2026, features Chandra X-ray Observatory data (pink) and infrared data from NASA’S James Webb Space Telescope (red, orange, green, cyan, and blue). Scores of gleaming stars ringed in neon pink stretch across the frame, highlighting a cluster where stars are between one and three million years […]",https://www.nasa.gov/image-article/pretty-in-pink-2/
13,Smile: cleanroom to space,ESA,2026-06-01T14:00:00Z,Smile successfully launched from Europe’s Spaceport in French Guiana on 19 May 2026.,https://www.esa.int/ESA_Multimedia/Videos/2026/06/Smile_cleanroom_to_space
14,Spaceport facility bonds are now law – and they fundamentally change space infrastructure finance,SpaceNews,2026-06-01T13:00:00Z,"After more than three decades in public and project finance, I have learned that real inflection points in infrastructure development rarely announce themselves loudly. They usually arrive embedded in financing […]
The post Spaceport facility bonds are now law – and they fundamentally change space infrastructure finance appeared first on SpaceNews.",https://spacenews.com/spaceport-facility-bonds-are-now-law-and-they-fundamentally-change-space-infrastructure-finance/
15,"China conducts surprise launch of Long March 12B, delivers Qianfan satellites on debut flight",SpaceNews,2026-06-01T10:43:39Z,"China conducted the maiden launch of its reusable Long March 12B rocket Monday, providing no advance warning and delivering operational payloads to orbit.
The post China conducts surprise launch of Long March 12B, delivers Qianfan satellites on debut flight appeared first on SpaceNews.",https://spacenews.com/china-conducts-surprise-launch-of-long-march-12b-delivers-qianfan-satellites-on-debut-flight/
